               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.058373,           0.0047251,            0.014036,             0.65257,             0.60435,             0.62089,             0.24794,            0.023517,           0.0046942,           0.0036901,            0.006832,            0.006832,            0.006832
                 130,            0.057346,           0.0044995,            0.013976,             0.58558,             0.58574,             0.60366,             0.25737,            0.023373,           0.0047522,           0.0038657,           0.0068073,           0.0068073,           0.0068073
                 131,            0.058274,           0.0045533,            0.014623,              0.6741,             0.60026,             0.65204,             0.27139,            0.022406,           0.0046353,           0.0034942,           0.0067825,           0.0067825,           0.0067825
                 132,            0.058571,           0.0044556,            0.013433,             0.62766,             0.59502,             0.63542,             0.26278,            0.022205,           0.0045884,           0.0035004,           0.0067577,           0.0067577,           0.0067577
                 133,            0.056398,           0.0044338,            0.011611,             0.57722,             0.62748,             0.63978,             0.26392,            0.022748,           0.0046027,           0.0032532,            0.006733,            0.006733,            0.006733
                 134,            0.057258,           0.0045286,            0.012879,              0.6023,             0.65792,             0.67049,             0.28216,            0.022295,           0.0045517,           0.0032712,           0.0067082,           0.0067082,           0.0067082
                 135,            0.057276,           0.0046701,            0.012436,             0.61631,             0.67593,             0.68686,             0.28899,            0.021626,           0.0044393,           0.0030966,           0.0066835,           0.0066835,           0.0066835
                 136,            0.055877,           0.0045076,            0.011242,             0.66918,              0.6569,             0.69532,             0.29445,            0.022133,           0.0045523,            0.003169,           0.0066587,           0.0066587,           0.0066587
                 137,            0.056024,           0.0044786,            0.011673,             0.68363,             0.60213,             0.66779,             0.28335,            0.022174,           0.0045316,           0.0031072,            0.006634,            0.006634,            0.006634
                 138,             0.05763,           0.0044413,            0.011962,              0.7189,             0.63257,             0.69167,             0.28498,            0.022758,            0.004587,           0.0031215,           0.0066092,           0.0066092,           0.0066092
                 139,             0.05765,           0.0042914,             0.01192,             0.71215,             0.58737,             0.66331,             0.27134,            0.022343,           0.0046679,           0.0030808,           0.0065845,           0.0065845,           0.0065845
                 140,            0.056433,           0.0043717,             0.01182,             0.71807,             0.62105,             0.68271,             0.28539,            0.022196,           0.0045316,           0.0036025,           0.0065598,           0.0065598,           0.0065598
                 141,             0.05542,           0.0046687,            0.011947,              0.6983,              0.6259,             0.67792,             0.28642,            0.021799,           0.0045105,           0.0028857,            0.006535,            0.006535,            0.006535
                 142,            0.055324,            0.004588,             0.01099,             0.72026,             0.63128,             0.71257,             0.29517,            0.021585,           0.0044306,           0.0027864,           0.0065102,           0.0065102,           0.0065102
                 143,            0.056783,           0.0042757,            0.012245,             0.72671,             0.69958,             0.72068,             0.31277,            0.021723,           0.0043611,           0.0029033,           0.0064855,           0.0064855,           0.0064855
                 144,            0.055012,           0.0045523,            0.010653,             0.66127,             0.61293,             0.66354,             0.28304,            0.021687,             0.00452,           0.0028463,           0.0064608,           0.0064608,           0.0064608
                 145,            0.054951,           0.0044839,            0.010199,             0.62069,             0.65997,             0.68335,              0.3043,            0.021738,           0.0044949,           0.0027145,            0.006436,            0.006436,            0.006436
                 146,            0.055918,           0.0042154,           0.0098241,             0.66164,             0.63073,             0.67091,             0.27254,            0.021362,           0.0044945,           0.0029208,           0.0064112,           0.0064112,           0.0064112
                 147,            0.054955,           0.0042267,            0.011054,              0.6322,             0.68661,             0.69881,             0.30272,            0.022088,           0.0044774,           0.0026498,           0.0063865,           0.0063865,           0.0063865
                 148,            0.054795,           0.0044005,            0.010893,             0.73843,             0.66644,             0.72836,             0.31979,             0.02138,           0.0043447,           0.0025412,           0.0063618,           0.0063618,           0.0063618
                 149,             0.05466,           0.0042262,            0.010309,             0.62759,             0.69065,             0.71201,              0.3079,            0.021139,           0.0043233,           0.0025751,            0.006337,            0.006337,            0.006337
                 150,            0.054012,           0.0042793,            0.010681,             0.68453,             0.64338,             0.71816,             0.30993,            0.020841,           0.0043265,           0.0024738,           0.0063122,           0.0063122,           0.0063122
                 151,            0.052409,           0.0042653,            0.009784,             0.67378,             0.70947,             0.71281,             0.32091,            0.020684,           0.0043268,           0.0025059,           0.0062875,           0.0062875,           0.0062875
                 152,            0.053476,           0.0041698,             0.00922,              0.6964,             0.69811,             0.73075,             0.31315,            0.020986,           0.0042726,           0.0023564,           0.0062628,           0.0062628,           0.0062628
                 153,            0.053822,           0.0042315,           0.0098873,             0.76029,             0.69446,             0.76056,             0.34098,            0.020589,           0.0041754,           0.0024543,            0.006238,            0.006238,            0.006238
